,validation,training,group
0,0.75,0.75,20
1,0.5,0.5,20
2,0.08333333333333333,0.08333333333333333,20
3,0.0,0.0,20
4,0.5,0.5,20
5,0.027777777777777776,0.027777777777777776,20
6,0.5,0.5,20
7,0.5,0.5,20
8,0.25,0.25,20
9,0.75,0.75,20
10,0.5,0.5,20
11,0.25,0.25,20
12,0.0,0.0,20
13,0.75,0.75,20
14,0.4444444444444444,0.4444444444444444,20
15,0.800000011920929,0.800000011920929,50
16,0.4444444477558136,0.4444444477558136,50
17,0.699999988079071,0.699999988079071,50
18,0.4000000059604645,0.4000000059604645,50
19,0.20000000298023224,0.20000000298023224,50
20,0.4000000059604645,0.4000000059604645,50
21,0.2888888998164071,0.2888888998164071,50
22,0.5,0.5,50
23,0.30000001192092896,0.30000001192092896,50
24,0.7111111018392775,0.7111111018392775,50
25,0.4000000059604645,0.4000000059604645,50
26,0.31111112236976624,0.31111112236976624,50
27,0.5,0.5,50
28,0.6888888809416029,0.6888888809416029,50
29,0.6000000238418579,0.6000000238418579,50
30,0.6000000238418579,0.6000000238418579,100
31,0.6388888756434122,0.6388888756434122,100
32,0.5222222275204129,0.5222222275204129,100
33,0.8500000238418579,0.8500000238418579,100
34,0.577777796321445,0.577777796321445,100
35,0.5944444669617547,0.5944444669617547,100
36,0.7111111018392775,0.7111111018392775,100
37,0.550000011920929,0.550000011920929,100
38,0.75,0.75,100
39,0.6833333174387614,0.6833333174387614,100
40,0.4555555449591743,0.4555555449591743,100
41,0.6388888756434122,0.6388888756434122,100
42,0.7944444550408257,0.7944444550408257,100
43,0.5944444603390164,0.5944444603390164,100
44,0.8555555608537462,0.8555555608537462,100
45,0.5148148304886289,0.5148148304886289,150
46,0.529629647731781,0.529629647731781,150
47,0.5074074135886298,0.5074074135886298,150
48,0.4333333373069763,0.4333333373069763,150
49,0.5592592557271322,0.5592592557271322,150
50,0.5407407548692491,0.5407407548692491,150
51,0.8962962759865655,0.8962962759865655,150
52,0.8148148126072354,0.8148148126072354,150
53,0.3888888955116272,0.3888888955116272,150
54,0.32592593630154926,0.32592593630154926,150
55,0.6592592597007751,0.6592592597007751,150
56,0.7703703708118863,0.7703703708118863,150
57,0.7518518500857883,0.7518518500857883,150
58,0.5555555688010322,0.5555555688010322,150
59,0.7296296291881137,0.7296296291881137,150
60,0.7361111243565878,0.7361111243565878,200
61,0.5833333399560716,0.5833333399560716,200
62,0.4472222195731269,0.4472222195731269,200
63,0.6972222195731269,0.6972222195731269,200
64,0.6166666746139526,0.6166666746139526,200
65,0.5972222222222222,0.5972222222222222,200
66,0.8194444311989678,0.8194444311989678,200
67,0.8444444537162781,0.8444444537162781,200
68,0.6722222235467699,0.6722222235467699,200
69,0.5055555502573649,0.5055555502573649,200
70,0.7333333359824287,0.7333333359824287,200
71,0.4499999980131785,0.4499999980131785,200
72,0.7527777751286825,0.7527777751286825,200
73,0.7916666666666666,0.7916666666666666,200
74,0.6972222129503886,0.6972222129503886,200
75,0.46888889206780326,0.46888889206780326,250
76,0.7577777703603109,0.7577777703603109,250
77,0.8555555608537462,0.8555555608537462,250
78,0.8577777743339539,0.8577777743339539,250
79,0.7599999970859952,0.7599999970859952,250
80,0.7711111042234633,0.7711111042234633,250
81,0.5200000041060977,0.5200000041060977,250
82,0.6933333476384481,0.6933333476384481,250
83,0.5777777797645993,0.5777777797645993,250
84,0.7666666507720947,0.7666666507720947,250
85,0.42444443371560836,0.42444443371560836,250
86,0.8955555558204651,0.8955555558204651,250
87,0.6466666724946764,0.6466666724946764,250
88,0.7800000045034621,0.7800000045034621,250
89,0.8444444338480631,0.8444444338480631,250
90,0.6888888875643412,0.6888888875643412,300
91,0.507407416899999,0.507407416899999,300
92,0.8333333333333334,0.8333333333333334,300
93,0.7962962918811374,0.7962962918811374,300
94,0.7037036948733859,0.7037036948733859,300
95,0.7462962932056851,0.7462962932056851,300
96,0.7981481552124023,0.7981481552124023,300
97,0.777777784400516,0.777777784400516,300
98,0.7740740776062012,0.7740740776062012,300
99,0.6166666746139526,0.6166666746139526,300
100,0.5703703661759695,0.5703703661759695,300
101,0.7629629572232565,0.7629629572232565,300
102,0.7500000066227384,0.7500000066227384,300
103,0.5111111038260989,0.5111111038260989,300
104,0.8129629625214471,0.8129629625214471,300
105,0.8736111058129205,0.8736111058129205,400
106,0.5347222321563296,0.5347222321563296,400
107,0.7805555595291985,0.7805555595291985,400
108,0.7277777724795871,0.7277777724795871,400
109,0.8902777830759684,0.8902777830759684,400
110,0.8472222354676988,0.8472222354676988,400
111,0.7458333373069763,0.7458333373069763,400
112,0.8666666746139526,0.8666666746139526,400
113,0.8736111124356588,0.8736111124356588,400
114,0.8263888822661506,0.8263888822661506,400
115,0.7805555595291985,0.7805555595291985,400
116,0.816666669315762,0.816666669315762,400
117,0.7402777738041348,0.7402777738041348,400
118,0.5597222314940559,0.5597222314940559,400
119,0.8791666626930237,0.8791666626930237,400
120,0.48555555277400547,0.48555555277400547,500
121,0.8377777867847018,0.8377777867847018,500
122,0.7433333330684238,0.7433333330684238,500
123,0.7555555502573649,0.7555555502573649,500
124,0.7500000066227384,0.7500000066227384,500
125,0.746666669845581,0.746666669845581,500
126,0.6266666650772095,0.6266666650772095,500
127,0.816666669315762,0.816666669315762,500
128,0.7400000029140048,0.7400000029140048,500
129,0.8588889042536417,0.8588889042536417,500
130,0.8522222306993272,0.8522222306993272,500
131,0.5677777727444967,0.5677777727444967,500
132,0.48777777287695145,0.48777777287695145,500
133,0.8655555579397414,0.8655555579397414,500
134,0.8444444470935397,0.8444444470935397,500
