,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,6.771657705307007,0.10170350923333374,0.20320743322372437,0.02118456689013279,softmax,SGD,"{'activation': 'softmax', 'optimizer': 'SGD'}",0.550000011920929,0.4962500035762787,0.53125,0.5724999904632568,0.5375000014901161,0.02793686782465264,48
1,7.393111169338226,0.11233973429393967,0.19507253170013428,0.012492441176268793,softmax,RMSprop,"{'activation': 'softmax', 'optimizer': 'RMSprop'}",0.6612499952316284,0.7637500166893005,0.637499988079071,0.6762499809265137,0.6846874952316284,0.047691852512815366,28
2,7.0531516671180725,0.4945396533269034,0.1922072172164917,0.018278351684436516,softmax,Adagrad,"{'activation': 'softmax', 'optimizer': 'Adagrad'}",0.550000011920929,0.4962500035762787,0.53125,0.5724999904632568,0.5375000014901161,0.02793686782465264,48
3,6.889094829559326,0.03775584244796639,0.18916869163513184,0.0012072541639489758,softmax,Adadelta,"{'activation': 'softmax', 'optimizer': 'Adadelta'}",0.550000011920929,0.5037500262260437,0.46875,0.5724999904632568,0.5237500071525574,0.04028220341222436,54
4,7.038718044757843,0.07584841453102233,0.1905651092529297,0.006691189645155327,softmax,Adam,"{'activation': 'softmax', 'optimizer': 'Adam'}",0.6675000190734863,0.768750011920929,0.6362500190734863,0.7262499928474426,0.6996875107288361,0.05132140024832453,27
5,6.9645044803619385,0.07311160676039218,0.3916102647781372,0.36105307969935874,softmax,Adamax,"{'activation': 'softmax', 'optimizer': 'Adamax'}",0.6787499785423279,0.6512500047683716,0.6337500214576721,0.7087500095367432,0.6681250035762787,0.028415164009461275,29
6,8.349273145198822,0.053581232617285514,0.19685739278793335,0.009519045974259026,softmax,Nadam,"{'activation': 'softmax', 'optimizer': 'Nadam'}",0.75,0.7662500143051147,0.6362500190734863,0.7262499928474426,0.7196875065565109,0.050228963085054104,26
7,6.7622334361076355,0.0471686008465844,0.19381606578826904,0.010473479938501389,softplus,SGD,"{'activation': 'softplus', 'optimizer': 'SGD'}",0.4925000071525574,0.4962500035762787,0.53125,0.6399999856948853,0.5399999991059303,0.05968012890937816,46
8,7.419004797935486,0.09806760239212386,0.42336684465408325,0.41523530287069754,softplus,RMSprop,"{'activation': 'softplus', 'optimizer': 'RMSprop'}",0.9037500023841858,0.8212500214576721,0.9100000262260437,0.8512499928474426,0.8715625107288361,0.03693718375838973,10
9,7.8343346118927,1.6620778236162943,0.211667001247406,0.012563604627944615,softplus,Adagrad,"{'activation': 'softplus', 'optimizer': 'Adagrad'}",0.5975000262260437,0.4962500035762787,0.5450000166893005,0.5724999904632568,0.5528125092387199,0.0375663518927087,44
10,7.042008876800537,0.03627348882575108,0.1986963152885437,0.01444006002340894,softplus,Adadelta,"{'activation': 'softplus', 'optimizer': 'Adadelta'}",0.550000011920929,0.5037500262260437,0.53125,0.5724999904632568,0.5393750071525574,0.025225533953246698,47
11,7.036772549152374,0.06307052737587451,0.2041885256767273,0.020829069852908257,softplus,Adam,"{'activation': 'softplus', 'optimizer': 'Adam'}",0.9049999713897705,0.800000011920929,0.9112499952316284,0.9024999737739563,0.879687488079071,0.046117830145030354,9
12,7.269020199775696,0.4413649493562682,0.18399673700332642,0.008595979006949138,softplus,Adamax,"{'activation': 'softplus', 'optimizer': 'Adamax'}",0.6399999856948853,0.8337500095367432,0.6912500262260437,0.7212499976158142,0.7215625047683716,0.07098842292913983,25
13,8.327384173870087,0.023645177957521017,0.20644694566726685,0.013851055202841881,softplus,Nadam,"{'activation': 'softplus', 'optimizer': 'Nadam'}",0.824999988079071,0.8949999809265137,0.8149999976158142,0.8849999904632568,0.8549999892711639,0.035355334844642775,13
14,6.078556180000305,0.026785715896575524,0.1906309723854065,0.0060183076769026265,softsign,SGD,"{'activation': 'softsign', 'optimizer': 'SGD'}",0.7337499856948853,0.7462499737739563,0.71875,0.9049999713897705,0.775937482714653,0.07514763345267506,19
15,6.8108543157577515,0.0766192089144547,0.4141620993614197,0.38918832420471783,softsign,RMSprop,"{'activation': 'softsign', 'optimizer': 'RMSprop'}",0.9150000214576721,0.8299999833106995,0.9549999833106995,0.9012500047683716,0.9003124982118607,0.04514192351850296,7
16,6.2064248919487,0.03635669078547986,0.18703311681747437,0.005128909954711444,softsign,Adagrad,"{'activation': 'softsign', 'optimizer': 'Adagrad'}",0.6650000214576721,0.5899999737739563,0.6287500262260437,0.6362500190734863,0.6300000101327896,0.02676578400204169,33
17,6.328883767127991,0.030854134014510235,0.18491679430007935,0.002292391968559173,softsign,Adadelta,"{'activation': 'softsign', 'optimizer': 'Adadelta'}",0.612500011920929,0.6087499856948853,0.6424999833106995,0.6499999761581421,0.6284374892711639,0.018057516168609098,34
18,6.40546041727066,0.03165381711997481,0.19375520944595337,0.005687929839121044,softsign,Adam,"{'activation': 'softsign', 'optimizer': 'Adam'}",0.8912500143051147,0.9287499785423279,0.956250011920929,0.9037500023841858,0.9200000017881393,0.02490607149235278,5
19,6.675421178340912,0.41198297524548366,0.1816580891609192,0.0036642282945239927,softsign,Adamax,"{'activation': 'softsign', 'optimizer': 'Adamax'}",0.8650000095367432,0.8374999761581421,0.7724999785423279,0.8575000166893005,0.8331249952316284,0.03641665592383028,16
20,7.909771203994751,0.13055436681632243,0.19605928659439087,0.012819433046503655,softsign,Nadam,"{'activation': 'softsign', 'optimizer': 'Nadam'}",0.9125000238418579,0.9375,0.9624999761581421,0.9162499904632568,0.9321874976158142,0.019929060406847474,2
