,loss_validation,loss_training,acc_validation,acc_training
0,0.6210462212562561,0.6713411837816239,0.605718745291233,0.5531406298279762
1,0.5285293757915497,0.5726162739098072,0.6946249976754189,0.673085942864418
2,0.47924031913280485,0.5009517282247543,0.7441562503576279,0.7437421888113022
3,0.45499427914619445,0.4667848668992519,0.7601250007748603,0.7691093727946281
4,0.4400305300951004,0.44835926294326783,0.7681875079870224,0.7802187487483024
5,0.4291144538670778,0.4348503537476063,0.7755937561392784,0.7886171862483025
6,0.4198582176119089,0.4247768774628639,0.7803750053048134,0.7935312524437904
7,0.41378545090556146,0.41797056421637535,0.7839687570929528,0.7973749965429306
8,0.40911959409713744,0.4133696317672729,0.787031252682209,0.8000468716025353
9,0.4055996540933847,0.40837408490478994,0.7888125032186508,0.8015859395265579
10,0.4017600856721401,0.4054385136812925,0.7909062504768372,0.8028125032782555
11,0.398236421123147,0.4012799683958292,0.7910312548279762,0.804187498986721
12,0.39547168724238874,0.39888746552169324,0.7940624982118607,0.805890628695488
13,0.3929634764790535,0.3960300154983997,0.7959999978542328,0.8070078089833259
14,0.3909883391112089,0.39368145130574705,0.7966875046491623,0.8088203117251396
15,0.38697738237679,0.3911871321499348,0.8002812504768372,0.8102578118443489
16,0.3835122775286436,0.38767182528972627,0.8022812485694886,0.813195315003395
17,0.3807976558804512,0.3846354816108942,0.8038437515497208,0.8144921869039535
18,0.37886445336043834,0.382466397061944,0.8046250030398369,0.8150546863675118
19,0.3767176281660795,0.3810350991785526,0.8054062515497208,0.8155625015497208
20,0.3751779466867447,0.37940836064517497,0.806031247973442,0.8165703132748604
21,0.3738989807665348,0.37765117585659025,0.8070937499403954,0.8173281282186509
22,0.3724402908235788,0.3766714487224817,0.8078437447547913,0.8174296915531158
23,0.3711194735020399,0.3758281581103802,0.8085312455892563,0.8174999967217446
24,0.37058449909090996,0.3743307091295719,0.8083124995231629,0.8182890608906745
25,0.369108273088932,0.37315712980926036,0.8086250022053718,0.8183046862483024
26,0.367991703748703,0.372156798094511,0.8096562489867211,0.8188046917319298
27,0.3675165444612503,0.37106199711561205,0.8095624998211861,0.8194218724966049
28,0.3661996889859438,0.37015657797455787,0.8119687438011169,0.8200781226158143
29,0.3652487311512232,0.3694458547979593,0.813343745470047,0.8206093773245812
30,0.3647981591522694,0.36902403794229033,0.8132187485694885,0.8209609389305115
