,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dropout_rate,param_layers,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,25.985419511795044,1.1868035842077296,0.4872286319732666,0.05365064065311706,0.0,"(20, 20)","{'dropout_rate': 0.0, 'layers': (20, 20)}",0.8489999771118164,0.8389999866485596,0.8445000052452087,0.8424999713897705,0.8437499850988388,0.0036142068945621804,19
1,27.339145958423615,0.08225336985731894,0.5483763813972473,0.06000720924355724,0.0,"(30, 30)","{'dropout_rate': 0.0, 'layers': (30, 30)}",0.8519999980926514,0.8374999761581421,0.840499997138977,0.8420000076293945,0.8429999947547913,0.005442890476920689,24
2,29.048440158367157,0.39790149775632394,0.4925895929336548,0.009536050596272664,0.0,"(80, 80)","{'dropout_rate': 0.0, 'layers': (80, 80)}",0.8500000238418579,0.8370000123977661,0.8379999995231628,0.8410000205039978,0.8415000140666962,0.00512348213049248,35
3,28.169061541557312,0.27472109349285817,0.518376350402832,0.04869853816072977,0.0,"(20, 30, 20)","{'dropout_rate': 0.0, 'layers': (20, 30, 20)}",0.8510000109672546,0.8399999737739563,0.8399999737739563,0.8464999794960022,0.8443749845027924,0.004655319997885584,11
4,26.18891215324402,0.3897963779170447,0.5147135853767395,0.04590828003273677,0.0,"(40, 20)","{'dropout_rate': 0.0, 'layers': (40, 20)}",0.8529999852180481,0.8429999947547913,0.8420000076293945,0.8429999947547913,0.8452499955892563,0.004493043748279489,4
5,27.320215702056885,0.5253572423578619,0.4970845580101013,0.02912870005792944,0.0,"(10, 20, 30)","{'dropout_rate': 0.0, 'layers': (10, 20, 30)}",0.8464999794960022,0.8414999842643738,0.8420000076293945,0.8395000100135803,0.8423749953508377,0.0025586761752892503,29
6,25.255581319332123,0.9908458350327818,0.6076259016990662,0.11599424365431014,0.1,"(20, 20)","{'dropout_rate': 0.1, 'layers': (20, 20)}",0.8539999723434448,0.8370000123977661,0.840499997138977,0.8424999713897705,0.8434999883174896,0.006373761299836579,20
7,26.8074112534523,1.3387037474410517,0.48358774185180664,0.02973528454106692,0.1,"(30, 30)","{'dropout_rate': 0.1, 'layers': (30, 30)}",0.8519999980926514,0.8414999842643738,0.843500018119812,0.8399999737739563,0.8442499935626984,0.004643550708369498,13
8,29.169230222702026,1.9037542690672444,0.5161195993423462,0.05300806543204497,0.1,"(80, 80)","{'dropout_rate': 0.1, 'layers': (80, 80)}",0.8510000109672546,0.8424999713897705,0.8429999947547913,0.8464999794960022,0.8457499891519547,0.003400378626573547,3
9,29.757698714733124,0.9769849812919165,0.8016079068183899,0.366572926010866,0.1,"(20, 30, 20)","{'dropout_rate': 0.1, 'layers': (20, 30, 20)}",0.8529999852180481,0.8395000100135803,0.8414999842643738,0.8424999713897705,0.8441249877214432,0.005236585733825073,17
10,26.490862548351288,2.118209994843881,0.493887722492218,0.042748632830017286,0.1,"(40, 20)","{'dropout_rate': 0.1, 'layers': (40, 20)}",0.8510000109672546,0.840499997138977,0.8385000228881836,0.8464999794960022,0.8441250026226044,0.004941844712684675,15
11,28.553410530090332,0.939311651943063,0.6023483872413635,0.12317925818949892,0.1,"(10, 20, 30)","{'dropout_rate': 0.1, 'layers': (10, 20, 30)}",0.843999981880188,0.843999981880188,0.8424999713897705,0.8489999771118164,0.8448749780654907,0.0024590399798748728,6
12,26.557897925376892,0.8665190527063555,0.8168830275535583,0.5998625910780294,0.2,"(20, 20)","{'dropout_rate': 0.2, 'layers': (20, 20)}",0.8529999852180481,0.8424999713897705,0.8410000205039978,0.8385000228881836,0.84375,0.005528323547051339,18
13,28.939755022525787,0.6594262542839942,0.7309322357177734,0.07341305862200048,0.2,"(30, 30)","{'dropout_rate': 0.2, 'layers': (30, 30)}",0.8464999794960022,0.8395000100135803,0.8445000052452087,0.8475000262260437,0.8445000052452087,0.003082205995938369,9
14,30.402355194091797,0.8259286806625095,0.4843617081642151,0.017911922637146895,0.2,"(80, 80)","{'dropout_rate': 0.2, 'layers': (80, 80)}",0.8539999723434448,0.8385000228881836,0.8429999947547913,0.8424999713897705,0.8444999903440475,0.005755417666111526,10
15,28.68874555826187,1.4724806791038052,0.5028299689292908,0.06340563611941907,0.2,"(20, 30, 20)","{'dropout_rate': 0.2, 'layers': (20, 30, 20)}",0.8525000214576721,0.8364999890327454,0.8410000205039978,0.847000002861023,0.8442500084638596,0.006046701714662303,12
16,28.423610627651215,0.5214333168142573,0.6047905087471008,0.06692023965875935,0.2,"(40, 20)","{'dropout_rate': 0.2, 'layers': (40, 20)}",0.8519999980926514,0.8395000100135803,0.8424999713897705,0.847000002861023,0.8452499955892563,0.004723611607269249,4
17,30.211026549339294,1.5235795594495931,0.5386030673980713,0.037489375915666805,0.2,"(10, 20, 30)","{'dropout_rate': 0.2, 'layers': (10, 20, 30)}",0.8519999980926514,0.8370000123977661,0.843999981880188,0.8454999923706055,0.8446249961853027,0.0053312121534291965,8
18,26.72473156452179,1.2502912001129916,0.5821398496627808,0.09830372303190839,0.3,"(20, 20)","{'dropout_rate': 0.3, 'layers': (20, 20)}",0.8550000190734863,0.8410000205039978,0.8445000052452087,0.8429999947547913,0.845875009894371,0.005412662559065104,2
19,26.418317317962646,1.4110848231485738,0.52765953540802,0.08464819356241222,0.3,"(30, 30)","{'dropout_rate': 0.3, 'layers': (30, 30)}",0.8495000004768372,0.8395000100135803,0.8379999995231628,0.8460000157356262,0.8432500064373016,0.0046970741534366105,22
