,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout_rate,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,3.5388256907463074,0.04020351483371557,0.18356555700302124,0.017102220826956473,softmax,0.0,SGD,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'SGD'}",0.550000011920929,0.4962500035762787,0.53125,0.5724999904632568,0.5375000014901161,0.02793686782465264,404
1,4.382128357887268,0.7391448375069868,0.257232129573822,0.13902971809960313,softmax,0.0,RMSprop,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'RMSprop'}",0.7287499904632568,0.7450000047683716,0.6387500166893005,0.7149999737739563,0.7068749964237213,0.0407402127702668,168
2,3.599413216114044,0.01566023755953825,0.17582333087921143,0.014138565855860142,softmax,0.0,Adagrad,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'Adagrad'}",0.44999998807907104,0.4962500035762787,0.53125,0.5724999904632568,0.5124999955296516,0.04506072355576985,502
3,3.6724159121513367,0.05570144210766865,0.18586629629135132,0.005563136415526753,softmax,0.0,Adadelta,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'Adadelta'}",0.44999998807907104,0.4962500035762787,0.46875,0.42750000953674316,0.4606250002980232,0.02522554447539541,550
4,4.2545196413993835,0.7692729382366221,0.16621732711791992,0.005948182756341802,softmax,0.0,Adam,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'Adam'}",0.6637499928474426,0.762499988079071,0.768750011920929,0.7237499952316284,0.7296874970197678,0.04178979547652707,146
5,3.7129936814308167,0.047724911184743965,0.18768846988677979,0.0171235500577112,softmax,0.0,Adamax,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'Adamax'}",0.6162499785423279,0.4962500035762787,0.53125,0.5724999904632568,0.5540624931454659,0.044916362388966284,377
6,4.862148106098175,0.6372025557539577,0.1836828589439392,0.025497535411965675,softmax,0.0,Nadam,"{'activation': 'softmax', 'dropout_rate': 0.0, 'optimizer': 'Nadam'}",0.6637499928474426,0.65625,0.637499988079071,0.7225000262260437,0.6700000017881393,0.03178296956706062,207
7,4.286856174468994,0.9910197366877694,0.1823137402534485,0.014439992699115566,softmax,0.1,SGD,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'SGD'}",0.550000011920929,0.4962500035762787,0.53125,0.5724999904632568,0.5375000014901161,0.02793686782465264,404
8,4.09282112121582,0.06597389017379075,0.17260706424713135,0.012263591269072591,softmax,0.1,RMSprop,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'RMSprop'}",0.7225000262260437,0.7475000023841858,0.6187499761581421,0.6612499952316284,0.6875,0.0505980005793747,184
9,4.600804567337036,0.9166812952534117,0.1720018982887268,0.007649006496070648,softmax,0.1,Adagrad,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'Adagrad'}",0.44999998807907104,0.4962500035762787,0.53125,0.5724999904632568,0.5124999955296516,0.04506072355576985,502
10,4.435149729251862,0.9490969706751567,0.19676005840301514,0.02467958995395417,softmax,0.1,Adadelta,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'Adadelta'}",0.44999998807907104,0.5037500262260437,0.46875,0.5724999904632568,0.4987500011920929,0.04674565492610599,524
11,3.8911694288253784,0.03930515727148372,0.1822587251663208,0.02872511944735075,softmax,0.1,Adam,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'Adam'}",0.7437499761581421,0.762499988079071,0.768750011920929,0.7212499976158142,0.7490624934434891,0.018506231450192482,131
12,4.30761331319809,0.7386505914988111,0.2002386450767517,0.0260620690181312,softmax,0.1,Adamax,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'Adamax'}",0.5874999761581421,0.4962500035762787,0.53125,0.5724999904632568,0.5468749925494194,0.03575632710442024,383
13,4.812547922134399,0.2119411226261688,0.19990813732147217,0.009154014975108113,softmax,0.1,Nadam,"{'activation': 'softmax', 'dropout_rate': 0.1, 'optimizer': 'Nadam'}",0.7437499761581421,0.762499988079071,0.6362500190734863,0.7225000262260437,0.7162500023841858,0.04830727135246142,157
14,3.672081470489502,0.00960243270451239,0.183402419090271,0.011238808326684236,softmax,0.2,SGD,"{'activation': 'softmax', 'dropout_rate': 0.2, 'optimizer': 'SGD'}",0.550000011920929,0.4962500035762787,0.53125,0.5724999904632568,0.5375000014901161,0.02793686782465264,404
15,4.641444981098175,0.9277014954560283,0.17426633834838867,0.016942962179617643,softmax,0.2,RMSprop,"{'activation': 'softmax', 'dropout_rate': 0.2, 'optimizer': 'RMSprop'}",0.7287499904632568,0.7450000047683716,0.625,0.7037500143051147,0.7006250023841858,0.046068054213734805,173
16,4.638088047504425,0.9098815709694436,0.18744707107543945,0.010137430401741199,softmax,0.2,Adagrad,"{'activation': 'softmax', 'dropout_rate': 0.2, 'optimizer': 'Adagrad'}",0.550000011920929,0.4962500035762787,0.53125,0.5724999904632568,0.5375000014901161,0.02793686782465264,404
17,4.233714401721954,0.7542788708051139,0.19366508722305298,0.010895535539038157,softmax,0.2,Adadelta,"{'activation': 'softmax', 'dropout_rate': 0.2, 'optimizer': 'Adadelta'}",0.44999998807907104,0.4962500035762787,0.53125,0.42750000953674316,0.4762500002980232,0.04028220711141491,540
