,validation,training,loss_val,loss,group
0,0.9100000262260437,0.925000011920929,0.230988547205925,0.20832429826259613,500 samples
1,0.9100000262260437,0.9225000143051147,0.23889072239398956,0.23134440183639526,500 samples
2,0.9100000262260437,0.9150000214576721,0.18279850482940674,0.1966312825679779,500 samples
3,0.9100000262260437,0.9225000143051147,0.18164967000484467,0.17941740155220032,500 samples
4,0.9900000095367432,0.987500011920929,0.023647118359804153,0.04856111481785774,500 samples
5,0.9599999785423279,0.9549999833106995,0.1158255860209465,0.14536136388778687,500 samples
6,0.9100000262260437,0.9150000214576721,0.23791995644569397,0.22506816685199738,500 samples
7,0.9100000262260437,0.9049999713897705,0.18711818754673004,0.20912879705429077,500 samples
8,0.9399999976158142,0.9674999713897705,0.10218295454978943,0.10939990729093552,500 samples
9,0.9100000262260437,0.9225000143051147,0.2385643720626831,0.224666029214859,500 samples
10,0.9900000095367432,0.9937499761581421,0.01908370479941368,0.015582824125885963,2000 samples
11,0.9900000095367432,0.9887499809265137,0.026695799082517624,0.02933662198483944,2000 samples
12,0.9100000262260437,0.9300000071525574,0.17534789443016052,0.1600562334060669,2000 samples
13,0.9125000238418579,0.9275000095367432,0.1852221041917801,0.16221392154693604,2000 samples
14,0.9474999904632568,0.9506250023841858,0.11927173286676407,0.10805623978376389,2000 samples
15,0.9825000166893005,0.9900000095367432,0.04720954969525337,0.027284586802124977,2000 samples
16,0.925000011920929,0.9418749809265137,0.18571290373802185,0.1696678102016449,2000 samples
17,0.9150000214576721,0.9456250071525574,0.14743773639202118,0.13571862876415253,2000 samples
18,0.9150000214576721,0.9275000095367432,0.17622405290603638,0.16139452159404755,2000 samples
19,0.9275000095367432,0.9231250286102295,0.17242351174354553,0.16413185000419617,2000 samples
20,0.981249988079071,0.9721875190734863,0.04848994314670563,0.06362514197826385,4000 samples
21,0.9312499761581421,0.9281250238418579,0.19682806730270386,0.20968864858150482,4000 samples
22,0.9300000071525574,0.9275000095367432,0.14782553911209106,0.15948055684566498,4000 samples
23,0.9937499761581421,0.9900000095367432,0.015866508707404137,0.029992390424013138,4000 samples
24,0.9362499713897705,0.9193750023841858,0.15142469108104706,0.19552698731422424,4000 samples
25,0.9312499761581421,0.9290624856948853,0.14902152121067047,0.16087311506271362,4000 samples
26,0.9474999904632568,0.9465625286102295,0.10243085026741028,0.12764088809490204,4000 samples
27,0.9300000071525574,0.9243749976158142,0.15626507997512817,0.16685664653778076,4000 samples
28,0.9300000071525574,0.9268749952316284,0.1408408135175705,0.15390938520431519,4000 samples
29,0.9300000071525574,0.9290624856948853,0.1901356726884842,0.2031569480895996,4000 samples
30,0.9925000071525574,0.987500011920929,0.01888400688767433,0.030501527711749077,8000 samples
31,0.9900000095367432,0.9860937595367432,0.030307786539196968,0.05190914496779442,8000 samples
32,0.9674999713897705,0.9873437285423279,0.08227914571762085,0.03444984555244446,8000 samples
33,0.9950000047683716,0.9912499785423279,0.014076508581638336,0.023308662697672844,8000 samples
34,0.9881250262260437,0.9906250238418579,0.0221824049949646,0.024921603500843048,8000 samples
35,0.9912499785423279,0.975781261920929,0.04048562049865723,0.07855398952960968,8000 samples
36,0.9587500095367432,0.9353125095367432,0.10691376775503159,0.14190247654914856,8000 samples
37,0.9474999904632568,0.9279687404632568,0.14033101499080658,0.17107710242271423,8000 samples
38,0.9981250166893005,0.989062488079071,0.015802092850208282,0.033589210361242294,8000 samples
39,0.9937499761581421,0.9798437356948853,0.030828557908535004,0.058977026492357254,8000 samples
40,0.9887499809265137,0.9909374713897705,0.0205831341445446,0.02074768766760826,16000 samples
41,0.9275000095367432,0.9292968511581421,0.1629394143819809,0.16359274089336395,16000 samples
42,0.9303125143051147,0.9309375286102295,0.2052099108695984,0.20062726736068726,16000 samples
43,0.9303125143051147,0.9292968511581421,0.204963818192482,0.20306751132011414,16000 samples
44,0.9821875095367432,0.9725000262260437,0.050880324095487595,0.07079467177391052,16000 samples
45,0.9293749928474426,0.9392187595367432,0.14576782286167145,0.13921234011650085,16000 samples
46,0.9925000071525574,0.9907812476158142,0.015930647030472755,0.02276240848004818,16000 samples
47,0.9278125166893005,0.9296875,0.15584099292755127,0.15508629381656647,16000 samples
48,0.9950000047683716,0.9942968487739563,0.010110453702509403,0.014454031363129616,16000 samples
49,0.9943749904632568,0.9882031083106995,0.0119154192507267,0.028638172894716263,16000 samples
50,0.9987499713897705,0.9782812595367432,0.016468964517116547,0.05145367980003357,Augmented set
51,0.9925000071525574,0.9787187576293945,0.02268456295132637,0.05048180744051933,Augmented set
52,0.9912499785423279,0.9678124785423279,0.03883035108447075,0.09043849259614944,Augmented set
53,0.9937499761581421,0.9785312414169312,0.025063274428248405,0.050806958228349686,Augmented set
54,0.9962499737739563,0.9728749990463257,0.023239068686962128,0.06361061334609985,Augmented set
55,0.9937499761581421,0.976687490940094,0.018498120829463005,0.0530623234808445,Augmented set
56,0.9950000047683716,0.9761562347412109,0.018490105867385864,0.052666112780570984,Augmented set
57,0.9962499737739563,0.9787187576293945,0.017325567081570625,0.051077477633953094,Augmented set
58,0.9937499761581421,0.9810937643051147,0.022275328636169434,0.04526935890316963,Augmented set
59,0.9987499713897705,0.9745937585830688,0.018084581941366196,0.057891473174095154,Augmented set
