,validation,train
0,0.6852503001689911,0.6910490721464158
1,0.6568788409233093,0.6764848917722702
2,0.6076859176158905,0.6330965220928192
3,0.5641903877258301,0.5827877968549728
4,0.5243391707539559,0.5420876517891884
5,0.48762496560811996,0.50365831553936
6,0.4582726418972015,0.4717839196324348
7,0.43328686952590945,0.44625736624002454
8,0.41334563344717024,0.4242902725934982
9,0.3985675036907196,0.4081240355968475
10,0.38758699893951415,0.3959769636392593
11,0.3777750790119171,0.38568270653486253
12,0.3704451352357864,0.3783655747771263
13,0.36479001566767694,0.3712019741535187
14,0.3587049826979637,0.36527246087789533
15,0.3546602725982666,0.3601910904049873
16,0.3503726042807102,0.3561870865523815
17,0.344799616932869,0.35215928927063944
18,0.34081029891967773,0.3488137945532799
19,0.33801462054252623,0.34586300551891325
20,0.3336942054331303,0.3418702699244022
21,0.33221856206655503,0.33773516714572904
22,0.328598453104496,0.33541684299707414
23,0.32642456591129304,0.3333340160548687
24,0.3233455494046211,0.33106778785586355
25,0.32156374156475065,0.3291683293879032
26,0.32056041359901427,0.32712173238396647
27,0.3180851057171822,0.3253288805484772
28,0.3147525072097778,0.32242926135659217
29,0.31355982795357706,0.32106033340096474
30,0.3125095121562481,0.31944951713085173
31,0.3110074818134308,0.31769526526331904
32,0.30925163850188253,0.31663121432065966
33,0.306905172765255,0.3147128336131573
34,0.304790536314249,0.3129138648509979
35,0.30418687388300897,0.3121498882770538
36,0.30215286239981654,0.3107296980917454
37,0.3005805142223835,0.30960352420806886
38,0.2997930057346821,0.30785393714904785
39,0.29880883544683456,0.30711648613214493
40,0.2972528263926506,0.30500468611717224
41,0.2953129462897778,0.3044901333749294
42,0.2950783923268318,0.3030905403196812
43,0.2939896695315838,0.3018616557121277
44,0.2919415093958378,0.3022352196276188
45,0.29070613980293275,0.29978897497057916
46,0.29104398638010026,0.29957216829061506
47,0.28903811499476434,0.29743110090494157
48,0.288703715056181,0.2964982964098454
49,0.28820298835635183,0.2963207721710205
50,0.2856797218322754,0.29530161023139956
51,0.28487633243203164,0.29428558945655825
52,0.28475442752242086,0.29361024498939514
53,0.28345932364463805,0.2921363368630409
54,0.2847362220287323,0.2929412081837654
55,0.2832684487104416,0.2909403063356876
56,0.28068447560071946,0.2902280241250992
57,0.2822327747941017,0.2903167396783829
58,0.28186743780970575,0.29068891182541845
59,0.2795843847095966,0.289106897264719
60,0.27956333979964254,0.28890085220336914
61,0.27905450463294984,0.28901585265994073
62,0.2790744714438915,0.2881548121571541
63,0.27875170558691026,0.28716548085212706
64,0.27783930748701097,0.2851731590926647
65,0.27731528133153915,0.2859721206128597
66,0.27696945443749427,0.2855155237019062
67,0.2755197320133448,0.28491359800100324
68,0.27520509995520115,0.28389698788523676
69,0.27488874532282354,0.28342997953295707
70,0.27374795638024807,0.28261724933981897
71,0.2733252290636301,0.28176153972744944
72,0.2740195509046316,0.2820697665214539
73,0.2734075769782066,0.28143162876367567
74,0.27145183049142363,0.27951632142066957
75,0.2710636481642723,0.2794479958713055
76,0.2705497559159994,0.2783633805811405
77,0.2692531768232584,0.278107412904501
78,0.2691998716443777,0.2771566990762949
79,0.2690073173493147,0.2776637554168701
80,0.2678057935088873,0.27813349589705466
81,0.26648067459464075,0.27675883695483205
82,0.26873408667743204,0.27520238161087035
83,0.26584592685103414,0.27493370808660983
84,0.2656473372131586,0.27505828738212584
85,0.2664692740887403,0.2752158597111702
86,0.2647749237716198,0.2748915731906891
87,0.26417971663177015,0.2734871950000525
