,validation,training
0,0.6212510585784912,0.6727146059274673
1,0.5090337887406349,0.5682676315307618
2,0.4520587384700775,0.47625412195920946
3,0.4236631810665131,0.4390236586332321
4,0.4089270576834679,0.41968152225017546
5,0.39962251856923103,0.4085850566625595
6,0.3918428808450699,0.40002156272530554
7,0.3842394039034843,0.3936041109263897
8,0.3785036027431488,0.3874591521918774
9,0.3741461254656315,0.38349978178739547
10,0.3701262630522251,0.37897916659712794
11,0.3668727226555347,0.3747615374624729
12,0.36355571150779725,0.37228337600827216
13,0.3608532674610615,0.3695503793656826
14,0.35832913368940356,0.3676045790314674
15,0.3558554112911224,0.36529415398836135
16,0.35369719490408896,0.36181062236428263
17,0.3508658714592457,0.3605646416544914
18,0.34929573312401774,0.3580484434962273
19,0.3471034839749336,0.35676260367035867
20,0.34491515904664993,0.35417931750416753
21,0.34232664853334427,0.3514487624168396
22,0.34095085263252256,0.34944024235010146
23,0.33804533407092097,0.3474241144955158
24,0.33734763562679293,0.3463817395269871
25,0.3348513081669807,0.3447469063103199
26,0.33301909193396567,0.3419238492846489
27,0.3317426651716232,0.34123329296708105
28,0.329845180362463,0.3397412709891796
29,0.32856563925743104,0.3383035384118557
30,0.3265767186880112,0.3361716717481613
31,0.3253156244754791,0.33511450290679934
32,0.322651618719101,0.3336095057427883
33,0.3210923708975315,0.3315362513065338
34,0.31963970735669134,0.3298154465854168
35,0.3186886072158813,0.3289350837469101
36,0.31669442504644396,0.32740906476974485
37,0.315191850066185,0.326043339818716
38,0.3140196330845356,0.32426130324602126
39,0.3130186818540096,0.3230398505926132
40,0.3111088551580906,0.32115993201732634
41,0.3097307659685612,0.3200679175555706
42,0.3091200016438961,0.31937563717365264
43,0.3069634333252907,0.317331038415432
44,0.30582973510026934,0.31644411832094194
45,0.30419049710035323,0.3149657383561134
46,0.3024648241698742,0.3131916791200638
47,0.3013627015054226,0.3122698746621609
48,0.30057023018598555,0.31136632412672044
49,0.2986446268856525,0.30995653942227364
