,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_init,param_kernel_size,param_lam,param_reg,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,36.84739065170288,9.30554170259716,0.29108351469039917,0.01696044890687206,random_normal,"[11, 8, 5]",0.001,<class 'keras.regularizers.L1'>,"{'init': 'random_normal', 'kernel_size': [11, 8, 5], 'lam': 0.001, 'reg': <class 'keras.regularizers.L1'>}",0.9860000014305115,0.9804999828338623,0.9835000038146973,0.9815000295639038,0.9828750044107437,0.002102826309315296,32
1,30.936142146587372,0.827660349261343,0.3097275495529175,0.019095561260032166,random_normal,"[11, 8, 5]",0.001,<class 'keras.regularizers.L2'>,"{'init': 'random_normal', 'kernel_size': [11, 8, 5], 'lam': 0.001, 'reg': <class 'keras.regularizers.L2'>}",0.9865000247955322,0.9850000143051147,0.9854999780654907,0.9879999756813049,0.9862499982118607,0.001145635677603226,8
2,30.713548600673676,0.3223194699979581,0.320706307888031,0.02377491505804615,random_normal,"[11, 8, 5]",0.001,<function l1_l2 at 0x7fe3bbac54d0>,"{'init': 'random_normal', 'kernel_size': [11, 8, 5], 'lam': 0.001, 'reg': <function l1_l2 at 0x7fe3bbac54d0>}",0.9754999876022339,0.9789999723434448,0.9819999933242798,0.9779999852180481,0.9786249846220016,0.0023284936203576976,54
3,30.155824661254883,0.06867175004288062,0.29666411876678467,0.020854456896324237,random_normal,"[11, 8, 5]",0.0001,<class 'keras.regularizers.L1'>,"{'init': 'random_normal', 'kernel_size': [11, 8, 5], 'lam': 0.0001, 'reg': <class 'keras.regularizers.L1'>}",0.9894999861717224,0.9819999933242798,0.9850000143051147,0.9869999885559082,0.9858749955892563,0.002747153103630892,12
4,30.087307155132294,0.09502872091948304,0.31575942039489746,0.020598997404895174,random_normal,"[11, 8, 5]",0.0001,<class 'keras.regularizers.L2'>,"{'init': 'random_normal', 'kernel_size': [11, 8, 5], 'lam': 0.0001, 'reg': <class 'keras.regularizers.L2'>}",0.987500011920929,0.9865000247955322,0.9760000109672546,0.984000027179718,0.9835000187158585,0.0045138704791935005,27
5,30.659153044223785,0.8534380534044326,0.3350142240524292,0.05353921238789712,random_normal,"[11, 8, 5]",0.0001,<function l1_l2 at 0x7fe3bbac54d0>,"{'init': 'random_normal', 'kernel_size': [11, 8, 5], 'lam': 0.0001, 'reg': <function l1_l2 at 0x7fe3bbac54d0>}",0.9785000085830688,0.9739999771118164,0.984000027179718,0.9754999876022339,0.9780000001192093,0.0038242835876629985,55
6,30.33851009607315,0.29593451459449477,0.3188745379447937,0.009928710964609976,random_normal,"[11, 8, 5]",0,<class 'keras.regularizers.L1'>,"{'init': 'random_normal', 'kernel_size': [11, 8, 5], 'lam': 0, 'reg': <class 'keras.regularizers.L1'>}",0.9850000143051147,0.984000027179718,0.984000027179718,0.9825000166893005,0.9838750213384628,0.0008926785368947259,24
7,30.170244693756104,0.10865333961729806,0.2986297607421875,0.013780720000283813,random_normal,"[11, 8, 5]",0,<class 'keras.regularizers.L2'>,"{'init': 'random_normal', 'kernel_size': [11, 8, 5], 'lam': 0, 'reg': <class 'keras.regularizers.L2'>}",0.9854999780654907,0.9854999780654907,0.9865000247955322,0.9810000061988831,0.9846249967813492,0.0021323385795960774,19
8,30.193256556987762,0.05103839904337058,0.30562663078308105,0.034429548385334616,random_normal,"[11, 8, 5]",0,<function l1_l2 at 0x7fe3bbac54d0>,"{'init': 'random_normal', 'kernel_size': [11, 8, 5], 'lam': 0, 'reg': <function l1_l2 at 0x7fe3bbac54d0>}",0.984000027179718,0.9800000190734863,0.984499990940094,0.9769999980926514,0.9813750088214874,0.0030695093381189267,42
9,30.97324961423874,0.1187120987833463,0.32663166522979736,0.021161055702468966,random_normal,"[11, 5, 5]",0.001,<class 'keras.regularizers.L1'>,"{'init': 'random_normal', 'kernel_size': [11, 5, 5], 'lam': 0.001, 'reg': <class 'keras.regularizers.L1'>}",0.9854999780654907,0.9139999747276306,0.9904999732971191,0.9810000061988831,0.9677499830722809,0.03121398279375237,71
10,30.944518446922302,0.243039645169928,0.3090851306915283,0.014109842175694462,random_normal,"[11, 5, 5]",0.001,<class 'keras.regularizers.L2'>,"{'init': 'random_normal', 'kernel_size': [11, 5, 5], 'lam': 0.001, 'reg': <class 'keras.regularizers.L2'>}",0.949999988079071,0.9865000247955322,0.9865000247955322,0.9865000247955322,0.9773750156164169,0.015804979517760064,56
11,31.27495688199997,0.3682332521383669,0.3481132388114929,0.014085353719526386,random_normal,"[11, 5, 5]",0.001,<function l1_l2 at 0x7fe3bbac54d0>,"{'init': 'random_normal', 'kernel_size': [11, 5, 5], 'lam': 0.001, 'reg': <function l1_l2 at 0x7fe3bbac54d0>}",0.9835000038146973,0.3330000042915344,0.9794999957084656,0.9710000157356262,0.8167500048875809,0.27932966660278336,102
12,31.23802900314331,0.3941800164478739,0.3176707625389099,0.045440147399329556,random_normal,"[11, 5, 5]",0.0001,<class 'keras.regularizers.L1'>,"{'init': 'random_normal', 'kernel_size': [11, 5, 5], 'lam': 0.0001, 'reg': <class 'keras.regularizers.L1'>}",0.987500011920929,0.9474999904632568,0.9860000014305115,0.9850000143051147,0.976500004529953,0.016766790731670797,57
